group,mean,se,p_msmw_w,replicate
WSM_prevalence,0.0392660028449502,0.000487052743833,0.05,1
WSM_hi_prevalence,0.4792509044477547,0.0088963129213823,0.05,1
MSW_prevalence,0.029877667140825,0.0004239962207148,0.05,1
MSW_hi_prevalence,0.3460454319350025,0.0079999378473628,0.05,1
MSM_prevalence,0.1159459459459459,0.0031930833636083,0.05,1
MSM_hi_prevalence,0.5058754406580493,0.0186210173505753,0.05,1
MSMW_prevalence,0.1078378378378378,0.0037545794887587,0.05,1
MSMW_hi_prevalence,0.4586404586404586,0.0148138813078119,0.05,1
WSM_prevalence,0.0456386913229018,0.0005013609876805,0.05,6
WSM_hi_prevalence,0.506006006006006,0.0074897733754072,0.05,6
MSW_prevalence,0.0351578947368421,0.0004191517070554,0.05,6
MSW_hi_prevalence,0.4113699906803356,0.0073342331867592,0.05,6
MSM_prevalence,0.1395495495495495,0.0033111427587876,0.05,6
MSM_hi_prevalence,0.5621621621621622,0.013800751102794,0.05,6
MSMW_prevalence,0.1041891891891892,0.0031865986832239,0.05,6
MSMW_hi_prevalence,0.4854469854469855,0.0201804847935703,0.05,6
WSM_prevalence,0.0446486486486486,0.0004048057477392,0.05,14
WSM_hi_prevalence,0.5040812624705243,0.0057436807966807,0.05,14
MSW_prevalence,0.034230440967283,0.0003966753483849,0.05,14
MSW_hi_prevalence,0.3844421344421344,0.0074496455302001,0.05,14
MSM_prevalence,0.1707207207207207,0.0029599008877862,0.05,14
MSM_hi_prevalence,0.572972972972973,0.0106879238652003,0.05,14
MSMW_prevalence,0.1313513513513513,0.0039117932525601,0.05,14
MSMW_hi_prevalence,0.5414725069897484,0.0152268728588412,0.05,14
WSM_prevalence,0.033701280227596,0.0005280753504109,0.05,16
WSM_hi_prevalence,0.4025031743152548,0.007588667018762,0.05,16
MSW_prevalence,0.0253598862019914,0.0003833780801691,0.05,16
MSW_hi_prevalence,0.327753126260589,0.0057717294692308,0.05,16
MSM_prevalence,0.1294594594594594,0.0023659013887466,0.05,16
MSM_hi_prevalence,0.5800000000000001,0.0117787409657712,0.05,16
MSMW_prevalence,0.0974324324324324,0.0025748671327978,0.05,16
MSMW_hi_prevalence,0.5297297297297298,0.0156082218578073,0.05,16
WSM_prevalence,0.0421223328591749,0.0004724007252516,0.05,18
WSM_hi_prevalence,0.4453276806217982,0.0061525781013467,0.05,18
MSW_prevalence,0.029900426742532,0.0004102848281633,0.05,18
MSW_hi_prevalence,0.3874517374517374,0.0063923943053733,0.05,18
MSM_prevalence,0.1059459459459459,0.0027916624016077,0.05,18
MSM_hi_prevalence,0.4927718416090509,0.0143572945309128,0.05,18
MSMW_prevalence,0.0993243243243243,0.0032831936344849,0.05,18
MSMW_hi_prevalence,0.4231418918918919,0.0167611778078744,0.05,18
WSM_prevalence,0.0385092460881934,0.0005999885412506,0.05,20
WSM_hi_prevalence,0.4404868444603543,0.0066603023898766,0.05,20
MSW_prevalence,0.0288079658605974,0.0004929532473566,0.05,20
MSW_hi_prevalence,0.3773546273546273,0.0085375352285623,0.05,20
MSM_prevalence,0.1257657657657657,0.0031311256909035,0.05,20
MSM_hi_prevalence,0.5707850707850708,0.0152853039479363,0.05,20
MSMW_prevalence,0.1286486486486487,0.0032916803435036,0.05,20
MSMW_hi_prevalence,0.577106518282989,0.0167634643220844,0.05,20
WSM_prevalence,0.0381223328591749,0.0006076483334211,0.05,24
WSM_hi_prevalence,0.4508108108108108,0.0091341222318131,0.05,24
MSW_prevalence,0.0283584637268847,0.0004331181705708,0.05,24
MSW_hi_prevalence,0.3617021276595744,0.0074859293731812,0.05,24
MSM_prevalence,0.0874774774774774,0.0024724218140081,0.05,24
MSM_hi_prevalence,0.4141709276844411,0.0154647621214515,0.05,24
MSMW_prevalence,0.119054054054054,0.0038057065469161,0.05,24
MSMW_hi_prevalence,0.4873054873054874,0.0155945058715235,0.05,24
WSM_prevalence,0.0378207681365576,0.0004337592880194,0.05,26
WSM_hi_prevalence,0.4606345475910693,0.0084822268433684,0.05,26
MSW_prevalence,0.0306799431009957,0.0003688744888444,0.05,26
MSW_hi_prevalence,0.3339896187578306,0.0060156949627389,0.05,26
MSM_prevalence,0.1357657657657657,0.0025756769186112,0.05,26
MSM_hi_prevalence,0.5051975051975053,0.010866529300462,0.05,26
MSMW_prevalence,0.1118918918918918,0.0029785982816417,0.05,26
MSMW_hi_prevalence,0.5504504504504505,0.0159569418549649,0.05,26
WSM_prevalence,0.0427425320056899,0.0005044938090895,0.05,32
WSM_hi_prevalence,0.4951351351351351,0.0076267999834726,0.05,32
MSW_prevalence,0.0330981507823613,0.0004109046685601,0.05,32
MSW_hi_prevalence,0.3996286362698576,0.0069886423247782,0.05,32
MSM_prevalence,0.0799099099099099,0.0023938473802761,0.05,32
MSM_hi_prevalence,0.4742807323452485,0.0176270737391697,0.05,32
MSMW_prevalence,0.0913513513513513,0.0032802567595743,0.05,32
MSMW_hi_prevalence,0.5027027027027028,0.0161480046864202,0.05,32
