group,mean,se,p_msmw_w,replicate
WSM_prevalence,0.0398577524893314,0.000446895709053,0.05,1
WSM_hi_prevalence,0.4796781514338765,0.0077671730436671,0.05,1
MSW_prevalence,0.0306344238975817,0.0004200732739817,0.05,1
MSW_hi_prevalence,0.3559993114133241,0.0067129843796801,0.05,1
MSM_prevalence,0.0833333333333333,0.0024025900827591,0.05,1
MSM_hi_prevalence,0.4103840682788051,0.0131562927529393,0.05,1
MSMW_prevalence,0.0933783783783784,0.003762137784257,0.05,1
MSMW_hi_prevalence,0.4604247104247105,0.019707043048196,0.05,1
WSM_prevalence,0.040330014224751,0.0004656013066408,0.05,2
WSM_hi_prevalence,0.4647197533103573,0.0064566885249522,0.05,2
MSW_prevalence,0.0310668563300142,0.0004149663274697,0.05,2
MSW_hi_prevalence,0.3871101871101872,0.0060432282967119,0.05,2
MSM_prevalence,0.1188288288288288,0.0026351244406582,0.05,2
MSM_hi_prevalence,0.531941031941032,0.013427149385024,0.05,2
MSMW_prevalence,0.1106756756756756,0.0034176397326844,0.05,2
MSMW_hi_prevalence,0.4693693693693694,0.0161004095336458,0.05,2
WSM_prevalence,0.0379231863442389,0.00050262218504,0.05,4
WSM_hi_prevalence,0.4935271405859639,0.0086007099679619,0.05,4
MSW_prevalence,0.0294395448079658,0.0004787074337577,0.05,4
MSW_hi_prevalence,0.3525878819996468,0.0081672685828242,0.05,4
MSM_prevalence,0.1247747747747747,0.0034695408037757,0.05,4
MSM_hi_prevalence,0.4744208494208493,0.012693855562792,0.05,4
MSMW_prevalence,0.0875675675675675,0.0032628909372026,0.05,4
MSMW_hi_prevalence,0.4643734643734643,0.0168144677867713,0.05,4
WSM_prevalence,0.0416045519203414,0.000509995184267,0.05,5
WSM_hi_prevalence,0.4854627354627355,0.006579674722902,0.05,5
MSW_prevalence,0.031226173541963,0.0004602473352411,0.05,5
MSW_hi_prevalence,0.3609305508039685,0.0063076311123952,0.05,5
MSM_prevalence,0.093063063063063,0.0025025125124924,0.05,5
MSM_hi_prevalence,0.5008445945945946,0.0149038974465838,0.05,5
MSMW_prevalence,0.0887837837837837,0.0037338511415226,0.05,5
MSMW_hi_prevalence,0.4141238012205754,0.0185196093767565,0.05,5
WSM_prevalence,0.0403186344238975,0.000602658084804,0.05,6
WSM_hi_prevalence,0.430990990990991,0.0068162214818551,0.05,6
MSW_prevalence,0.0297980085348506,0.0004236206337509,0.05,6
MSW_hi_prevalence,0.3925925925925925,0.0066823429427968,0.05,6
MSM_prevalence,0.1228828828828828,0.0032113884409116,0.05,6
MSM_hi_prevalence,0.4960585585585585,0.0135284941572656,0.05,6
MSMW_prevalence,0.1075675675675675,0.0029928695392365,0.05,6
MSMW_hi_prevalence,0.5145530145530146,0.0177190127173189,0.05,6
WSM_prevalence,0.0400284495021337,0.0005873090243128,0.05,12
WSM_hi_prevalence,0.4708793300342596,0.0082098975301948,0.05,12
MSW_prevalence,0.031027027027027,0.0004514366185802,0.05,12
MSW_hi_prevalence,0.3752739225712199,0.006389642260504,0.05,12
MSM_prevalence,0.1204504504504504,0.0029515104805539,0.05,12
MSM_hi_prevalence,0.4917743830787308,0.0134345176553828,0.05,12
MSMW_prevalence,0.13,0.0031420331590185,0.05,12
MSMW_hi_prevalence,0.5278219395866456,0.0134340483887741,0.05,12
WSM_prevalence,0.0382987197724039,0.0005353346679414,0.05,13
WSM_hi_prevalence,0.4309026007139215,0.0067079828146404,0.05,13
MSW_prevalence,0.0298435277382645,0.0004080010847891,0.05,13
MSW_hi_prevalence,0.3598563598563599,0.0072638826758098,0.05,13
MSM_prevalence,0.105045045045045,0.0030308766455049,0.05,13
MSM_hi_prevalence,0.4794079794079793,0.0158773632549953,0.05,13
MSMW_prevalence,0.09,0.0037718333376127,0.05,13
MSMW_hi_prevalence,0.4437663469921534,0.0148639486806677,0.05,13
WSM_prevalence,0.0394765291607396,0.0004932979234008,0.05,17
WSM_hi_prevalence,0.4706134706134706,0.0059304126512877,0.05,17
MSW_prevalence,0.0274935988620199,0.0003886247810305,0.05,17
MSW_hi_prevalence,0.3894715611133522,0.0074111767079081,0.05,17
MSM_prevalence,0.1003603603603603,0.0031314856855804,0.05,17
MSM_hi_prevalence,0.4520884520884521,0.0146514473896218,0.05,17
MSMW_prevalence,0.1127027027027027,0.003285664756208,0.05,17
MSMW_hi_prevalence,0.4980694980694979,0.013583809319906,0.05,17
WSM_prevalence,0.0410924608819345,0.000485836279394,0.05,19
WSM_hi_prevalence,0.4564354564354564,0.0081004705872672,0.05,19
MSW_prevalence,0.0298833570412517,0.0004311995268218,0.05,19
MSW_hi_prevalence,0.3952182952182952,0.0085216545651135,0.05,19
MSM_prevalence,0.1001801801801801,0.0023283442513336,0.05,19
MSM_hi_prevalence,0.5292792792792792,0.0142367981004819,0.05,19
MSMW_prevalence,0.0898648648648648,0.0027364633150689,0.05,19
MSMW_hi_prevalence,0.468058968058968,0.0166037141136063,0.05,19
WSM_prevalence,0.0454224751066856,0.0004519562563066,0.05,20
WSM_hi_prevalence,0.5175967334240715,0.0072798605649615,0.05,20
MSW_prevalence,0.0337354196301564,0.0004530592519304,0.05,20
MSW_hi_prevalence,0.4016421484775915,0.0070339410480066,0.05,20
MSM_prevalence,0.1183783783783784,0.0028316741936704,0.05,20
MSM_hi_prevalence,0.5467342342342343,0.0134939485495635,0.05,20
MSMW_prevalence,0.1221621621621621,0.0033588021409562,0.05,20
MSMW_hi_prevalence,0.4788851351351351,0.0140723529699675,0.05,20
WSM_prevalence,0.0319374110953058,0.0004997476251502,0.05,28
WSM_hi_prevalence,0.3724498692240628,0.0055488097575647,0.05,28
MSW_prevalence,0.024307254623044,0.0004524116920877,0.05,28
MSW_hi_prevalence,0.3327989005955108,0.0075788147709441,0.05,28
MSM_prevalence,0.1082882882882882,0.0023768346675211,0.05,28
MSM_hi_prevalence,0.518918918918919,0.0136451917841558,0.05,28
MSMW_prevalence,0.1136486486486486,0.0023621820904733,0.05,28
MSMW_hi_prevalence,0.4204204204204204,0.0109325281075089,0.05,28
WSM_prevalence,0.0392773826458037,0.0004933599030594,0.05,31
WSM_hi_prevalence,0.475014582928252,0.0057570595608795,0.05,31
MSW_prevalence,0.0303556187766714,0.0004207235823339,0.05,31
MSW_hi_prevalence,0.363963963963964,0.0067928963438312,0.05,31
MSM_prevalence,0.1119819819819819,0.0028164262072536,0.05,31
MSM_hi_prevalence,0.4972972972972972,0.0131820848485567,0.05,31
MSMW_prevalence,0.1081081081081081,0.0027831495822669,0.05,31
MSMW_hi_prevalence,0.5116495806150977,0.016501333839353,0.05,31
WSM_prevalence,0.0393684210526315,0.000434509167336,0.05,32
WSM_hi_prevalence,0.4460366406675132,0.0064209186949471,0.05,32
MSW_prevalence,0.0296216216216216,0.0003956174668746,0.05,32
MSW_hi_prevalence,0.3824217918706106,0.006490645801914,0.05,32
MSM_prevalence,0.1246846846846847,0.0029804710251663,0.05,32
MSM_hi_prevalence,0.5007949125596185,0.0122887325443474,0.05,32
MSMW_prevalence,0.0825675675675675,0.0030733135321469,0.05,32
MSMW_hi_prevalence,0.4189189189189188,0.0184001981479614,0.05,32
WSM_prevalence,0.0428677098150782,0.0006015378709831,0.05,36
WSM_hi_prevalence,0.4949324324324325,0.0090562415773599,0.05,36
MSW_prevalence,0.0324210526315789,0.0004309721377547,0.05,36
MSW_hi_prevalence,0.4097222222222222,0.0068022223252327,0.05,36
MSM_prevalence,0.1108108108108108,0.0025291276315494,0.05,36
MSM_hi_prevalence,0.495311638168781,0.0105993390065388,0.05,36
